S,I,R
40,28,31
40,28,31
40,28,31
40,27,31
40,27,31
40,27,31
40,27,31
40,27,32
39,27,32
39,27,32
39,27,32
39,27,32
39,27,32
39,27,32
39,27,33
39,27,33
39,27,33
38,27,33
38,27,33
38,27,33
38,27,33
38,27,34
38,27,34
38,27,34
38,27,34
38,27,34
37,27,34
37,27,34
37,27,34
37,27,35
37,27,35
37,26,35
37,26,35
37,26,35
37,27,35
37,26,35
37,26,36
36,26,36
36,26,36
36,26,36
36,26,36
36,26,36
36,26,36
36,26,37
36,26,37
36,26,37
35,26,37
35,26,37
35,26,37
35,26,37
35,26,38
35,26,38
35,26,38
35,26,38
35,26,38
35,26,38
35,26,38
35,26,38
35,25,39
34,25,39
34,25,39
34,25,39
34,25,39
34,25,39
34,25,39
34,25,40
34,25,40
34,25,40
34,25,40
34,25,40
33,25,40
33,25,40
33,25,40
33,25,41
33,25,41
33,25,41
33,25,41
33,25,41
33,25,41
33,25,41
33,25,41
32,24,42
32,24,42
32,24,42
32,24,42
32,24,42
32,24,42
32,24,42
32,24,43
32,24,43
32,24,43
32,24,43
32,24,43
32,24,43
31,24,43
31,24,43
31,24,44
31,24,44
31,24,44
31,24,44
31,24,44
31,24,44
31,23,44
31,23,44
31,23,45
31,23,45
30,23,45
30,23,45
30,23,45
30,23,45
30,23,45
30,23,45
30,23,46
30,23,46
30,23,46
30,23,46
30,23,46
30,23,46
30,23,46
29,23,46
29,22,47
29,22,47
29,22,47
29,22,47
29,22,47
29,22,47
29,22,47
29,22,47
29,22,48
29,22,48
29,22,48
29,22,48
29,22,48
29,22,48
29,22,48
29,22,48
28,22,49
28,21,49
28,21,49
28,21,49
28,21,49
28,21,49
28,21,49
28,21,49
28,21,49
28,21,49
28,21,49
28,21,50
28,21,50
28,21,50
28,21,50
28,21,50
28,21,50
28,21,50
28,21,50
27,21,50
27,21,50
27,21,51
27,20,51
27,20,51
27,20,51
27,20,51
27,20,51
27,20,51
27,20,51
27,20,51
27,20,52
27,20,52
27,20,52
27,20,52
27,20,52
27,20,52
27,20,52
27,20,52
27,20,52
27,19,52
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
26,19,53
26,19,53
26,19,53
26,19,53
26,19,53
26,19,54
26,19,54
26,19,54
26,19,54
26,19,54
26,18,54
26,18,54
26,18,54
26,18,54
26,18,54
26,18,54
26,18,55
26,18,55
26,18,55
26,18,55
26,18,55
26,18,55
26,18,55
26,18,55
26,18,55
26,18,55
25,18,55
25,18,55
25,18,56
25,17,56
25,17,56
25,17,56
25,17,56
25,17,56
25,17,56
25,17,56
25,17,56
25,17,56
25,17,57
25,17,57
25,17,57
25,17,57
25,17,57
25,17,57
25,17,57
25,17,57
25,16,57
25,16,57
25,16,57
25,16,57
25,16,58
25,16,58
25,16,58
25,16,58
25,16,58
25,16,58
25,16,58
24,16,58
24,16,58
24,16,58
24,16,58
24,16,59
24,16,59
24,16,59
24,16,59
24,15,59
24,15,59
24,15,59
24,15,59
24,15,59
24,15,59
24,15,59
24,15,59
24,15,60
24,15,60
24,15,60
24,15,60
24,15,60
24,15,60
24,15,60
24,15,60
24,15,60
24,15,60
24,14,60
24,14,60
24,14,60
24,14,61
24,14,61
24,14,61
24,14,61
24,14,61
24,14,61
24,14,61
24,14,61
24,14,61
23,14,61
23,14,61
23,14,61
23,14,61
23,14,61
23,14,62
23,14,62
23,13,62
23,13,62
23,13,62
23,13,62
23,13,62
23,13,62
23,13,62
23,13,62
23,13,62
23,13,62
23,13,63
23,13,63
23,13,63
23,13,63
23,13,63
23,12,63
23,12,63
23,12,63
23,12,63
23,12,63
23,12,63
23,12,63
23,12,63
23,12,64
23,12,64
23,12,64
23,12,64
23,12,64
23,12,64
23,12,64
23,12,64
23,12,64
23,12,64
23,12,64
23,11,64
23,11,64
23,11,65
23,11,65
23,11,65
23,11,65
23,11,65
23,11,65
23,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,65
22,11,66
22,11,66
22,11,66
22,11,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,66
22,10,67
22,10,67
22,10,67
22,10,67
22,10,67
22,10,67
22,10,67
22,10,67
22,10,67
22,10,67
22,9,67
22,9,67
22,9,67
22,9,67
22,9,67
22,9,67
22,9,67
22,9,67
22,9,67
22,9,67
22,9,68
22,9,68
22,9,68
22,9,68
22,9,68
22,9,68
22,9,68
22,9,68
22,9,68
22,9,68
22,9,68
22,9,68
